SampleCode	Line	Virus	Treatment	Condition	TimePoint	BiolRep	Strain	Batch
Series1_NHBE_Mock_1	NHBE	Mock	Mock treatment	Control	24hrs after treatment	1		Series1
Series1_NHBE_Mock_2	NHBE	Mock	Mock treatment	Control	24hrs after treatment	2		Series1
Series1_NHBE_Mock_3	NHBE	Mock	Mock treatment	Control	24hrs after treatment	3		Series1
Series1_NHBE_SARS-CoV-2_1	NHBE	SARS-CoV-2	SARS-CoV-2 infected (MOI 2)	Infected	24hrs after treatment	1	USA-WA1/2020	Series1
Series1_NHBE_SARS-CoV-2_2	NHBE	SARS-CoV-2	SARS-CoV-2 infected (MOI 2)	Infected	24hrs after treatment	2	USA-WA1/2020	Series1
Series1_NHBE_SARS-CoV-2_3	NHBE	SARS-CoV-2	SARS-CoV-2 infected (MOI 2)	Infected	24hrs after treatment	3	USA-WA1/2020	Series1
Series2_A549_Mock_1	A549	Mock	Mock treatment	Control	24hrs after treatment	1		Series2
Series2_A549_Mock_2	A549	Mock	Mock treatment	Control	24hrs after treatment	2		Series2
Series2_A549_Mock_3	A549	Mock	Mock treatment	Control	24hrs after treatment	3		Series2
Series2_A549_SARS-CoV-2_1	A549	SARS-CoV-2	SARS-CoV-2 infected (MOI 0.2)	Infected	24hrs after treatment	1	USA-WA1/2020	Series2
Series2_A549_SARS-CoV-2_2	A549	SARS-CoV-2	SARS-CoV-2 infected (MOI 0.2)	Infected	24hrs after treatment	2	USA-WA1/2020	Series2
Series2_A549_SARS-CoV-2_3	A549	SARS-CoV-2	SARS-CoV-2 infected (MOI 0.2)	Infected	24hrs after treatment	3	USA-WA1/2020	Series2
Series3_A549_Mock_1	A549	Mock	Mock treatment	Control	24hrs after treatment	1		Series3
Series3_A549_Mock_2	A549	Mock	Mock treatment	Control	24hrs after treatment	2		Series3
Series3_A549_RSV_1	A549	RSV	RSV infected (MOI 15)	Infected	24hrs after treatment	1	A2	Series3
Series3_A549_RSV_2	A549	RSV	RSV infected (MOI 15)	Infected	24hrs after treatment	2	A2	Series3
Series4_A549_IAV_1	A549	IAV	IAV infected (MOI 5)	Infected	9hrs after treatment	1	A/Puerto Rico/8/1934 (H1N1)	Series4
Series4_A549_IAV_2	A549	IAV	IAV infected (MOI 5)	Infected	9hrs after treatment	2	A/Puerto Rico/8/1934 (H1N1)	Series4
Series4_A549_Mock_1	A549	Mock	Mock treatment	Control	9hrs after treatment	1		Series4
Series4_A549_Mock_2	A549	Mock	Mock treatment	Control	9hrs after treatment	2		Series4
Series5_A549_Mock_1	A549	Mock	Mock treatment	Control	24 hours	1		Series5
Series5_A549_Mock_2	A549	Mock	Mock treatment	Control	24 hours	2		Series5
Series5_A549_Mock_3	A549	Mock	Mock treatment	Control	24 hours	3		Series5
Series5_A549_SARS-CoV-2_1	A549	SARS-CoV-2	SARS-CoV-2 infected (MOI 2)	Infected	24 hours	1	USA-WA1/2020	Series5
Series5_A549_SARS-CoV-2_2	A549	SARS-CoV-2	SARS-CoV-2 infected (MOI 2)	Infected	24 hours	2	USA-WA1/2020	Series5
