"","entrezgene_id","model_gene","ensembl_gene_id"
"1",12,12.1,"ENSG00000196136"
"2",13,13.1,"ENSG00000114771"
"3",15,15.1,"ENSG00000129673"
"4",18,18.1,"ENSG00000183044"
"5",18,18.2,"ENSG00000183044"
"6",19,19.1,"ENSG00000165029"
"7",26,26.1,"ENSG00000002726"
"8",28,28.1,"ENSG00000281879"
"9",28,28.1,"ENSG00000175164"
"10",30,30.1,"ENSG00000060971"
"11",31,31.2,"ENSG00000275176"
"12",31,31.2,"ENSG00000278540"
"13",31,31.1,"ENSG00000275176"
"14",31,31.1,"ENSG00000278540"
"15",31,31.5,"ENSG00000275176"
"16",31,31.5,"ENSG00000278540"
"17",31,31.3,"ENSG00000275176"
"18",31,31.3,"ENSG00000278540"
"19",31,31.4,"ENSG00000275176"
"20",31,31.4,"ENSG00000278540"
"21",32,32.1,"ENSG00000076555"
"22",33,33.1,"ENSG00000115361"
"23",34,34.1,"ENSG00000117054"
"24",35,35.1,"ENSG00000122971"
"25",36,36.1,"ENSG00000196177"
"26",37,37.1,"ENSG00000072778"
"27",38,38.1,"ENSG00000075239"
"28",39,39.1,"ENSG00000120437"
"29",43,43.1,"ENSG00000087085"
"30",43,43.2,"ENSG00000087085"
"31",47,47.1,"ENSG00000131473"
"32",47,47.2,"ENSG00000131473"
"33",48,48.1,"ENSG00000122729"
"34",50,50.1,"ENSG00000100412"
"35",51,51.2,"ENSG00000161533"
"36",51,51.1,"ENSG00000161533"
"37",52,52.3,"ENSG00000143727"
"38",52,52.2,"ENSG00000143727"
"39",52,52.1,"ENSG00000143727"
"40",53,53.1,"ENSG00000134575"
"41",54,54.1,"ENSG00000102575"
"42",55,55.1,"ENSG00000014257"
"43",95,95.1,"ENSG00000243989"
"44",97,97.1,"ENSG00000119640"
"45",97,97.2,"ENSG00000119640"
"46",98,98.1,"ENSG00000170634"
"47",100,100.1,"ENSG00000196839"
"48",107,107.1,"ENSG00000164742"
"49",108,108.1,"ENSG00000078295"
"50",109,109.1,"ENSG00000138031"
"51",111,111.1,"ENSG00000173175"
"52",112,112.2,"ENSG00000174233"
"53",112,112.1,"ENSG00000174233"
"54",113,113.1,"ENSG00000121281"
"55",114,114.1,"ENSG00000155897"
"56",115,115.1,"ENSG00000162104"
"57",124,124.1,"ENSG00000187758"
"58",125,125.1,"ENSG00000196616"
"59",126,126.1,"ENSG00000248144"
"60",127,127.1,"ENSG00000198099"
"61",128,128.1,"ENSG00000197894"
"62",130,130.1,"ENSG00000172955"
"63",131,131.1,"ENSG00000196344"
"64",132,132.1,"ENSG00000156110"
"65",132,132.2,"ENSG00000156110"
"66",158,158.1,"ENSG00000239900"
"67",158,158.2,"ENSG00000239900"
"68",159,159.1,"ENSG00000035687"
"69",175,175.1,"ENSG00000038002"
"70",178,178.2,"ENSG00000162688"
"71",178,178.4,"ENSG00000162688"
"72",178,178.3,"ENSG00000162688"
"73",178,178.5,"ENSG00000162688"
"74",178,178.1,"ENSG00000162688"
"75",178,178.6,"ENSG00000162688"
"76",189,189.1,"ENSG00000172482"
"77",191,191.1,"ENSG00000101444"
"78",203,203.1,"ENSG00000106992"
"79",204,204.1,"ENSG00000004455"
"80",204,204.3,"ENSG00000004455"
"81",204,204.2,"ENSG00000004455"
"82",205,205.2,"ENSG00000162433"
"83",205,205.1,"ENSG00000162433"
"84",205,205.3,"ENSG00000162433"
"85",210,210.1,"ENSG00000148218"
"86",210,210.2,"ENSG00000148218"
"87",211,211.1,"ENSG00000023330"
"88",211,211.2,"ENSG00000023330"
"89",212,212.1,"ENSG00000158578"
"90",213,213.1,"ENSG00000163631"
"91",215,215.1,"ENSG00000101986"
"92",216,216.1,"ENSG00000165092"
"93",217,217.1,"ENSG00000111275"
"94",218,218.1,"ENSG00000108602"
"95",219,219.1,"ENSG00000137124"
"96",220,220.1,"ENSG00000184254"
"97",221,221.1,"ENSG00000006534"
"98",222,222.1,"ENSG00000132746"
"99",223,223.1,"ENSG00000143149"
"100",224,224.1,"ENSG00000072210"
"101",225,225.1,"ENSG00000173208"
"102",226,226.1,"ENSG00000149925"
"103",226,226.2,"ENSG00000149925"
"104",226,226.3,"ENSG00000149925"
"105",229,229.1,"ENSG00000136872"
"106",230,230.1,"ENSG00000109107"
"107",231,231.1,"ENSG00000085662"
"108",239,239.1,"ENSG00000108839"
"109",240,240.1,"ENSG00000012779"
"110",240,240.1,"ENSG00000275565"
"111",242,242.1,"ENSG00000179477"
